order_id,product_id,quantity,unit_price
O00000001,P00290,3,2436.32
O00000001,P00131,1,1381.03
O00000002,P00250,2,327.26
O00000002,P00394,1,13.8
O00000002,P00711,4,1586.46
O00000002,P00446,3,298.0
O00000002,P00242,2,1370.9
O00000003,P00181,3,884.85
O00000003,P00072,1,85.66
O00000003,P00611,4,1732.37
O00000003,P00661,1,405.16
O00000004,P00211,3,989.5
O00000004,P00696,3,967.87
O00000005,P00302,1,164.32
O00000005,P00563,1,1097.66
O00000006,P00729,4,2468.33
O00000006,P00446,2,526.19
O00000006,P00487,2,1765.72
O00000007,P00074,1,65.41
O00000008,P00185,4,1119.29
O00000008,P00566,4,761.29
O00000008,P00232,2,784.23
O00000008,P00008,4,590.85
O00000008,P00243,3,1174.75
O00000009,P00494,1,96.29
O00000009,P00749,3,1893.5
O00000009,P00081,1,1088.43
O00000009,P00646,1,1830.44
O00000009,P00553,3,407.6
O00000010,P00297,2,857.18
O00000010,P00612,3,2206.08
O00000010,P00578,3,135.18
O00000011,P00085,2,118647.5
O00000011,P00285,3,73291.67
O00000011,P00288,3,102717.5
O00000011,P00015,1,147745.83
O00000012,P00034,3,1396.04
O00000012,P00149,2,1832.58
O00000012,P00771,4,2029.18
O00000012,P00244,4,1684.84
O00000012,P00172,2,1429.41
O00000013,P00309,4,658.55
O00000013,P00771,2,1031.92
O00000013,P00723,4,1457.97
O00000013,P00149,4,769.18
O00000014,P00443,3,2153.34
O00000014,P00274,1,2218.11
O00000014,P00599,4,2828.17
O00000015,P00321,1,119761.67
O00000015,P00070,1,141530.0
O00000016,P00673,2,315.62
O00000016,P00654,1,754.83
O00000016,P00123,1,1848.29
O00000016,P00134,4,1833.42
O00000016,P00664,2,1256.86
O00000017,P00709,3,130796.67
O00000017,P00800,1,17475.0
O00000017,P00064,4,88771.67
O00000017,P00062,3,164435.0
O00000018,P00554,4,1286.82
O00000018,P00659,1,1702.28
O00000019,P00020,4,1909.84
O00000019,P00656,1,1987.18
O00000019,P00681,4,2267.96
O00000019,P00717,3,1391.92
O00000020,P00125,3,532.98
O00000020,P00311,4,786.12
O00000020,P00663,1,202.77
O00000020,P00349,1,943.89
O00000021,P00307,4,3476.61
O00000021,P00646,3,2649.55
O00000022,P00065,3,833.32
O00000022,P00461,1,1249.78
O00000022,P00058,3,1753.49
O00000022,P00044,4,643.78
O00000023,P00038,2,1219.45
O00000024,P00468,2,464.92
O00000025,P00437,3,1164.45
O00000025,P00756,4,1262.52
O00000026,P00173,3,2498.24
O00000026,P00450,2,1561.23
O00000026,P00042,2,1364.91
O00000026,P00648,4,699.95
O00000027,P00291,4,1814.44
O00000027,P00792,4,2725.25
O00000027,P00212,2,2696.08
O00000027,P00536,4,2326.31
O00000027,P00179,1,2103.23
O00000028,P00098,3,941.23
O00000028,P00553,2,384.39
O00000028,P00642,2,961.53
O00000028,P00199,1,127.37
O00000028,P00702,4,650.88
O00000029,P00632,4,20155.0
O00000029,P00759,1,66454.17
O00000029,P00181,2,69486.67
O00000030,P00236,1,2037.59
O00000030,P00101,2,870.12
O00000030,P00205,4,2897.72
O00000031,P00397,3,497.51
O00000031,P00738,2,1036.39
O00000032,P00226,3,1138.55
O00000032,P00654,2,665.37
O00000032,P00567,2,440.35
O00000033,P00754,2,1410.79
O00000033,P00445,2,1932.56
O00000033,P00606,2,1141.15
O00000033,P00006,4,2290.34
O00000034,P00247,1,178.0
O00000034,P00013,4,1301.32
O00000034,P00136,3,933.62
O00000034,P00664,1,699.93
