order_id,customer_id,order_datetime,order_timezone,total_amount,currency,status,warehouse_id,shipping_delay_hours
O00000001,C03779,2025-01-18 00:13:38,UTC,8689.99,CAD,delivered,W002,5
O00000002,C03387,2025-01-28 04:09:29,Europe/Berlin,10649.96,EUR,shipped,W008,24
O00000003,C04548,2024-09-06 22:10:14,America/Los_Angeles,10074.85,USD,delivered,W001,12
O00000004,C04735,2025-06-10 23:08:00,America/Los_Angeles,5872.11,GBP,cancelled,W006,0
O00000005,C04182,2025-03-20 12:48:56,Asia/Kolkata,1261.98,GBP,delivered,W006,18
O00000006,C03230,2024-12-27 12:02:42,Europe/London,14457.14,AUD,delivered,W006,17
O00000007,C01029,2024-09-03 17:20:19,America/Los_Angeles,65.41,EUR,delivered,W007,17
O00000008,C04952,2025-01-08 22:04:19,Asia/Kolkata,14978.43,GBP,delivered,W006,11
O00000009,C03020,2024-10-06 13:12:25,America/Los_Angeles,9918.46,USD,cancelled,W001,0
O00000010,C02892,2025-03-03 13:03:45,America/New_York,8738.14,CAD,delivered,W003,14
O00000011,C00224,2024-12-27 07:47:48,America/New_York,913068.34,INR,cancelled,W003,6
O00000012,C01482,2025-02-27 17:21:51,Europe/London,25568.18,CAD,delivered,W001,3
O00000013,C03802,2024-08-12 05:00:35,UTC,13606.64,GBP,cancelled,W008,5
O00000014,C04353,2025-05-20 22:05:05,America/Los_Angeles,19990.81,AUD,delivered,W004,17
O00000015,C04260,2025-06-15 15:28:09,Europe/London,261291.67,INR,delivered,W008,2
O00000016,C00754,2025-02-07 17:56:53,Europe/Berlin,13081.76,USD,delivered,W005,24
O00000017,C03715,2025-08-05 06:00:11,Asia/Singapore,1258256.69,INR,shipped,W008,37
O00000018,C04031,2025-04-14 13:01:58,America/Los_Angeles,6849.56,USD,delivered,W002,23
O00000019,C02053,2025-03-27 09:24:41,UTC,22874.14,CAD,delivered,W008,1
O00000020,C00028,2024-09-09 01:20:19,Europe/Berlin,5890.08,GBP,delivered,W005,13
O00000021,C03148,2025-01-15 04:46:29,UTC,21855.09,AUD,delivered,W008,11
O00000022,C01954,2025-05-24 20:18:56,Europe/London,11585.33,GBP,delivered,W008,6
O00000023,C04747,2024-10-18 17:32:29,UTC,2438.9,EUR,placed,W001,12
O00000024,C02518,2024-12-05 15:18:21,Europe/Berlin,929.84,CAD,shipped,W002,26
O00000025,C01807,2025-07-19 00:46:45,Asia/Kolkata,8543.43,USD,returned,W003,0
O00000026,C01158,2025-01-04 05:03:52,Asia/Singapore,16146.8,CAD,placed,W008,35
O00000027,C00731,2025-06-24 12:40:42,America/New_York,34959.39,AUD,delivered,W002,0
O00000028,C01573,2025-05-07 02:54:59,America/Los_Angeles,8246.42,USD,shipped,W001,0
O00000029,C03561,2024-11-08 15:55:29,America/New_York,286047.51,INR,delivered,W002,18
O00000030,C01629,2024-09-28 15:15:08,Asia/Singapore,15368.71,AUD,shipped,W008,15
O00000031,C04993,2024-09-11 13:55:53,UTC,3565.31,GBP,returned,W004,10
O00000032,C03427,2025-07-12 04:36:04,Asia/Singapore,5627.09,EUR,delivered,W008,14
O00000033,C02287,2025-01-08 00:36:03,Asia/Singapore,18130.36,USD,placed,W008,10
O00000034,C00803,2024-12-15 06:38:38,Asia/Kolkata,8884.07,GBP,delivered,W003,0
O00000035,C00200,2024-08-15 17:26:23,Europe/London,12596.5,GBP,delivered,W001,7
O00000036,C01697,2024-10-17 11:44:17,Asia/Singapore,143.76,CAD,shipped,W006,28
O00000037,C00335,2025-07-17 03:02:02,Asia/Singapore,353092.51,INR,delivered,W004,12
O00000038,C03465,2024-08-12 10:07:01,Europe/Berlin,244320.0,INR,delivered,W002,0
O00000039,C04366,2024-09-16 05:34:48,UTC,600005.01,INR,shipped,W003,9
O00000040,C00186,2025-07-23 07:54:12,Asia/Singapore,743085.85,INR,delivered,W006,27
O00000041,C02674,2025-01-08 05:50:04,UTC,13793.38,GBP,shipped,W003,7
O00000042,C01258,2025-06-09 16:01:46,Asia/Singapore,2405.58,EUR,delivered,W004,7
O00000043,C02817,2024-12-16 03:05:15,Asia/Kolkata,6185.97,EUR,cancelled,W003,28
O00000044,C03883,2025-04-18 14:54:41,Europe/London,1347220.0,INR,shipped,W001,12
O00000045,C01820,2024-09-07 02:10:46,Europe/Berlin,5623.9,CAD,delivered,W001,19
O00000046,C03055,2024-08-17 16:02:59,America/New_York,6458.96,USD,shipped,W007,6
O00000047,C04899,2024-08-26 02:16:29,Europe/London,4130.22,USD,returned,W007,20
O00000048,C01524,2024-10-05 10:43:48,America/New_York,6138.91,CAD,returned,W008,17
O00000049,C00234,2024-10-04 00:49:10,Asia/Singapore,15549.46,USD,delivered,W006,0
O00000050,C02619,2025-01-16 15:53:57,America/New_York,4696.98,GBP,returned,W001,10
O00000051,C04906,2025-02-18 02:23:01,America/Los_Angeles,7474.86,CAD,delivered,W006,22
O00000052,C03056,2025-01-20 08:26:29,Asia/Kolkata,8719.0,CAD,cancelled,W002,19
O00000053,C02971,2024-11-20 06:30:45,Asia/Kolkata,8787.21,EUR,delivered,W004,14
O00000054,C03968,2024-08-22 15:04:57,America/New_York,6146.08,CAD,delivered,W004,14
O00000055,C00240,2025-06-18 17:43:53,UTC,5562.9,USD,delivered,W004,8
O00000056,C01570,2025-01-10 12:09:53,Europe/London,399989.17,INR,delivered,W008,11
O00000057,C00880,2025-04-05 16:32:49,America/New_York,6144.89,EUR,delivered,W008,13
O00000058,C04045,2024-08-19 16:25:08,America/New_York,16398.18,USD,delivered,W008,0
O00000059,C04282,2024-12-23 03:37:50,America/Los_Angeles,4842.46,AUD,delivered,W002,10
O00000060,C02775,2025-02-13 03:38:21,Europe/London,15343.09,EUR,delivered,W003,0
O00000061,C04074,2025-03-18 22:55:31,Europe/London,7335.55,EUR,returned,W007,4
O00000062,C01655,2025-03-27 12:26:43,America/Los_Angeles,1508885.84,INR,delivered,W008,6
O00000063,C02483,2025-06-26 06:09:54,Asia/Singapore,14420.16,AUD,shipped,W008,3
O00000064,C01281,2025-02-26 15:17:04,America/Los_Angeles,690586.77,JPY,returned,W006,0
O00000065,C02858,2025-05-04 19:47:48,America/New_York,19031.5,CAD,shipped,W005,16
O00000066,C03461,2024-11-10 22:45:53,America/Los_Angeles,1578489.7,JPY,delivered,W006,16
O00000067,C03572,2024-09-09 00:36:34,Asia/Singapore,3921.13,EUR,returned,W002,5
O00000068,C02473,2025-04-27 06:19:37,Asia/Singapore,1180683.82,JPY,delivered,W003,7
