product_id,name,category_id,supplier_id,price_usd,currency,created_at
P00001,Product 1 design,8,S0002,1055.26,USD,2024-05-15 11:18:39
P00002,Product 2 box,11,S0040,406.92,EUR,2024-12-16 03:25:06
P00003,Product 3 site,11,S0046,359.03,CAD,2025-05-09 02:26:35
P00004,Product 4 produce,11,S0004,48.72,JPY,2024-10-04 17:00:47
P00005,Product 5 thank,23,S0010,1549.86,CAD,2024-01-25 19:31:55
P00006,Product 6 stop,17,S0024,1921.31,INR,2024-04-07 11:29:35
P00007,Product 7 star,23,S0043,794.21,USD,2023-09-12 03:29:22
P00008,Product 8 human,11,S0020,648.59,EUR,2025-05-26 03:57:10
P00009,Product 9 coach,24,S0028,1584.73,GBP,2024-03-25 21:02:57
P00010,Product 10 standard,21,S0021,352.53,JPY,2023-10-09 23:00:21
P00011,Product 11 many,23,S0040,1575.05,EUR,2025-01-01 01:44:16
P00012,Product 12 go,22,S0038,1629.84,GBP,2024-06-16 10:17:47
P00013,Product 13 difference,10,S0047,1378.55,EUR,2024-04-01 10:25:40
P00014,Product 14 enjoy,6,S0047,8.59,AUD,2025-01-15 15:46:51
P00015,Product 15 expert,19,S0026,1702.26,CAD,2025-02-02 18:19:29
P00016,Product 16 here,19,S0003,368.25,INR,2024-12-28 01:44:21
P00017,Product 17 part,20,S0015,1281.1,USD,2024-01-08 01:11:33
P00018,Product 18 big,16,S0010,665.68,USD,2024-02-04 19:29:10
P00019,Product 19 care,8,S0023,1964.85,EUR,2024-09-15 09:59:44
P00020,Product 20 when,21,S0006,1644.22,AUD,2025-04-02 11:35:51
P00021,Product 21 just,21,S0047,1773.87,GBP,2023-12-16 10:30:10
P00022,Product 22 view,1,S0017,423.32,AUD,2025-02-21 10:09:37
P00023,Product 23 federal,3,S0023,517.03,USD,2024-02-28 22:04:21
P00024,Product 24 practice,24,S0001,101.05,GBP,2024-11-15 08:50:26
P00025,Product 25 tell,24,S0027,1938.36,GBP,2025-03-30 13:22:38
P00026,Product 26 career,16,S0025,705.71,GBP,2025-07-11 17:21:07
P00027,Product 27 design,4,S0031,1578.52,JPY,2024-11-26 13:39:53
P00028,Product 28 far,21,S0049,1375.89,EUR,2024-08-28 10:55:44
P00029,Product 29 enjoy,15,S0005,1599.39,USD,2025-05-30 01:24:34
P00030,Product 30 entire,10,S0002,640.84,USD,2025-07-13 06:37:47
P00031,Product 31 section,3,S0022,344.36,GBP,2025-05-02 07:21:32
P00032,Product 32 indicate,6,S0047,154.63,USD,2024-01-02 17:59:18
P00033,Product 33 for,11,S0039,1970.63,GBP,2025-07-25 12:48:21
P00034,Product 34 mean,23,S0002,865.49,AUD,2025-03-31 09:48:22
P00035,Product 35 difficult,6,S0039,1780.06,EUR,2024-01-21 15:53:18
P00036,Product 36 argue,2,S0007,665.53,EUR,2024-04-13 08:46:40
P00037,Product 37 different,14,S0045,1110.45,AUD,2024-06-14 07:23:20
P00038,Product 38 field,18,S0017,1322.89,INR,2025-01-01 00:31:25
P00039,Product 39 property,8,S0007,104.02,JPY,2025-07-27 06:57:59
P00040,Product 40 western,18,S0032,311.41,INR,2025-07-12 09:48:26
P00041,Product 41 behavior,1,S0028,179.82,CAD,2024-06-29 05:50:43
P00042,Product 42 wrong,22,S0041,1202.43,EUR,2023-10-08 07:13:44
P00043,Product 43 style,4,S0002,417.87,AUD,2025-03-01 16:11:27
P00044,Product 44 contain,10,S0006,949.77,USD,2025-01-04 23:23:57
P00045,Product 45 far,10,S0026,944.53,AUD,2023-09-13 04:02:50
P00046,Product 46 make,9,S0006,1285.52,GBP,2024-10-07 05:18:40
P00047,Product 47 still,6,S0024,1771.56,INR,2024-11-24 15:59:19
P00048,Product 48 dog,6,S0029,94.01,GBP,2024-12-31 22:16:35
P00049,Product 49 network,15,S0017,456.35,INR,2024-09-22 01:35:54
P00050,Product 50 kind,19,S0004,306.51,AUD,2024-03-13 06:23:50
P00051,Product 51 degree,22,S0007,175.99,INR,2024-04-01 20:35:55
P00052,Product 52 compare,18,S0027,1941.56,JPY,2025-05-16 12:39:53
P00053,Product 53 successful,8,S0036,126.66,GBP,2024-02-26 19:44:33
P00054,Product 54 short,17,S0027,1931.43,AUD,2025-06-27 13:20:08
P00055,Product 55 wonder,16,S0037,1763.9,GBP,2023-09-03 12:10:26
P00056,Product 56 particular,10,S0006,792.63,CAD,2025-07-12 05:48:47
P00057,Product 57 century,23,S0003,1006.69,JPY,2024-08-28 07:25:34
P00058,Product 58 join,19,S0044,1965.6,EUR,2023-10-04 19:50:14
P00059,Product 59 reality,4,S0049,900.83,EUR,2024-07-27 03:04:32
P00060,Product 60 necessary,7,S0013,256.74,GBP,2024-10-17 14:15:50
P00061,Product 61 manage,3,S0044,873.61,CAD,2024-03-26 16:18:31
P00062,Product 62 recently,21,S0010,1669.05,INR,2024-12-26 11:47:58
P00063,Product 63 attack,11,S0047,1828.78,USD,2025-05-16 17:21:16
P00064,Product 64 teach,3,S0025,1114.95,JPY,2024-08-14 09:45:44
P00065,Product 65 film,11,S0018,1041.78,CAD,2024-08-03 04:54:10
P00066,Product 66 thus,1,S0045,1248.0,JPY,2024-08-15 20:59:12
P00067,Product 67 laugh,14,S0008,831.81,EUR,2025-04-25 10:55:39
P00068,Product 68 network,19,S0038,1167.44,USD,2025-08-06 00:14:15
P00069,Product 69 name,4,S0037,1560.19,CAD,2024-04-17 20:48:40
P00070,Product 70 rock,10,S0035,1760.87,GBP,2025-06-28 22:53:42
P00071,Product 71 quite,9,S0025,1311.3,JPY,2024-05-25 15:29:36
P00072,Product 72 important,20,S0031,79.74,INR,2025-02-12 09:56:02
P00073,Product 73 when,13,S0010,1238.4,AUD,2024-08-19 14:26:25
P00074,Product 74 bag,23,S0026,82.37,INR,2024-03-05 15:04:41
P00075,Product 75 suffer,23,S0016,103.34,GBP,2025-02-26 16:33:36
P00076,Product 76 space,9,S0024,45.36,CAD,2024-07-07 15:42:48
P00077,Product 77 trial,10,S0020,564.29,GBP,2024-03-27 14:04:33
P00078,Product 78 give,23,S0044,200.94,CAD,2023-10-12 18:24:24
P00079,Product 79 already,8,S0009,604.46,AUD,2025-06-27 01:46:27
P00080,Product 80 standard,15,S0050,1652.52,INR,2023-12-24 07:11:01
P00081,Product 81 fight,24,S0027,1211.93,USD,2025-05-29 13:43:23
P00082,Product 82 power,7,S0029,426.72,CAD,2023-10-10 13:03:56
P00083,Product 83 seven,14,S0048,971.5,JPY,2023-10-16 03:31:59
