return_id,order_id,product_id,return_reason,return_datetime,refund_amount
R00000001,O00000025,P00437,Damaged,2025-07-29 14:46:45,2332.69
R00000002,O00000031,P00397,Buyer remorse,2024-09-29 02:55:53,829.18
R00000003,O00000047,P00538,Not as described,2024-09-03 20:16:29,681.47
R00000004,O00000048,P00758,Buyer remorse,2024-10-14 18:43:48,467.24
R00000005,O00000050,P00366,Not as described,2025-01-22 10:53:57,488.42
R00000006,O00000058,P00439,Buyer remorse,2024-09-06 12:25:08,2863.85
R00000007,O00000061,P00031,Buyer remorse,2025-04-04 18:55:31,307.32
R00000008,O00000064,P00401,Not as described,2025-03-12 10:17:04,549176.5
R00000009,O00000067,P00412,Wrong item,2024-09-14 13:36:34,111.41
R00000010,O00000078,P00440,Buyer remorse,2024-12-07 13:56:44,4659.62
R00000011,O00000111,P00379,Wrong item,2024-12-03 15:01:04,50740.06
R00000012,O00000119,P00652,Wrong item,2025-06-05 13:35:06,15337.54
R00000013,O00000172,P00335,Wrong item,2025-02-21 06:37:54,253.48
R00000014,O00000179,P00173,Buyer remorse,2025-06-20 20:35:46,1494.59
R00000015,O00000202,P00136,Damaged,2025-07-16 18:23:34,2093.33
R00000016,O00000207,P00495,Not as described,2024-10-18 04:40:11,4437.81
R00000017,O00000220,P00786,Buyer remorse,2024-11-15 00:44:42,256.0
R00000018,O00000221,P00595,Buyer remorse,2025-06-13 10:29:02,16.0
R00000019,O00000235,P00658,Buyer remorse,2025-07-01 07:17:22,3743.36
R00000020,O00000243,P00532,Buyer remorse,2025-02-26 05:06:11,349147.89
R00000021,O00000272,P00296,Damaged,2024-09-08 17:23:03,157504.32
R00000022,O00000277,P00007,Damaged,2025-08-21 16:10:58,3079.18
R00000023,O00000366,P00127,Wrong item,2024-10-27 07:13:00,738.17
R00000024,O00000376,P00634,Wrong item,2025-04-02 12:04:40,2178.58
R00000025,O00000407,P00770,Buyer remorse,2024-12-26 22:17:06,539.78
R00000026,O00000435,P00698,Wrong item,2025-05-23 05:32:33,548.93
R00000027,O00000452,P00688,Not as described,2025-04-18 20:33:53,458955.19
R00000028,O00000458,P00109,Damaged,2024-12-01 09:24:34,525.59
R00000029,O00000459,P00198,Wrong item,2025-04-07 19:04:49,1262.01
R00000030,O00000465,P00069,Wrong item,2025-08-03 22:35:27,344403.31
R00000031,O00000484,P00591,Wrong item,2025-06-23 06:48:46,977.42
R00000032,O00000486,P00655,Buyer remorse,2024-12-12 12:59:45,1471.74
R00000033,O00000491,P00011,Wrong item,2025-04-18 07:12:28,262531.14
R00000034,O00000494,P00121,Not as described,2025-05-23 11:35:51,2453.69
R00000035,O00000506,P00431,Damaged,2025-06-18 23:53:36,1746.99
R00000036,O00000508,P00619,Wrong item,2025-06-10 17:15:53,93148.39
R00000037,O00000531,P00090,Buyer remorse,2025-06-20 09:51:44,66667.34
R00000038,O00000540,P00685,Damaged,2024-11-30 06:04:37,1033.36
R00000039,O00000541,P00595,Not as described,2024-12-29 07:28:06,7.97
R00000040,O00000588,P00738,Not as described,2025-06-23 12:13:31,743.59
R00000041,O00000603,P00792,Buyer remorse,2024-12-14 13:46:07,5367.18
R00000042,O00000624,P00662,Wrong item,2024-11-24 14:37:30,541859.33
R00000043,O00000658,P00474,Buyer remorse,2025-01-16 03:32:51,221.38
R00000044,O00000673,P00560,Not as described,2024-11-18 06:28:34,51560.52
